ClubId,Name
16,Badminton Esbjerg
18,Greve
19,Haderslev
20,Havdrup
22,Lillerød
23,Holbæk
24,Hornslet
25,Højbjerg
27,KMB2010
28,KBK Kbh.
30,Hillerød
31,Mørkøv
32,Nr. Broby
34,NBK Amager
36,Ringsted
39,Solrød Strand
41,Viby J
42,Værløse
327,Skælskør
385,Stenløse
461,Albertslund
481,Køge
609,Nr. Lyndelse
778,Ejby
978,Badminton Danmark
1087,BC37 Amager
1089,Charlottenlund
1090,Dragør
1091,Drive Kbh.
1092,Gentofte
1093,Gladsaxe Søborg
1094,Hvidovre
1095,Lyngby
1096,Rødovre
1097,Valby BC
1098,Vanløse
1099,Skovshoved
1100,Pan Kbh.
1101,BKPOINT Kbh.
1102,BC KVIK Kbh.
1103,BK36 Kbh.
1105,Posten Kbh.
1106,Sct. Jørgen Kbh.
1109,Stefan Kbh.
1110,VLI Badminton Kbh.
1111,FKIF Frederiksberg
1112,Frederiksberg
1116,Peder Lykke Kbh.
1119,KFUM Badminton Kbh.
1120,Hvidovre HB2000
1121,PI København
1123,Ryparken
1124,SAIF Kbh.
1125,Sporvejenes IF
1127,Søvang
1128,Søværnet Kbh.
1129,Tingbjerg
1131,KSI Badmintonklub Kbh.
1133,ØBK/BK Kbh.
1138,CBS Sport Badminton
1141,Gentofte Motionist BK
1142,Ballerup BC58
1143,Birkerød BK13
1144,Farum
1145,Frederikssund
1146,Glostrup
1147,Helsinge
1148,Herlev/Hjorten
1149,Holte
1150,Humlebæk
1151,Hørsholm
1152,Karlslunde
1153,Nivå-Kokkedal
1155,Ishøj SB 50
1157,Slagelse
1158,Taastrup TIK
1159,Vordingborg
1160,Ølstykke
1161,Tuse Næs
1162,Dianalund
1163,Skovlunde
1164,Ledøje-Smørum
1165,Skibby
1166,Frem - Hellebæk
1167,Sorø
1168,Brøndby Strand
1169,Jyllinge
1170,Vipperød
1171,Asnæs
1172,Frederiksværk
1173,Vallensbæk
1174,Lynge Uggeløse
1175,Fredensborg
1176,Blistrup
1177,Bagsværd
1178,Helsingør
1179,Køge Nord Badminton
1180,Sengeløse
1181,Nykøbing Sj.
1183,Ganløse
1184,Espergærde
1185,Virum
1186,Måløv
1187,Jyderup
1188,Osted
1189,Herfølge
1190,Strøby AIK65
1191,Faxe
1192,Haslev
1193,Nyråd
1194,Jægerspris
